seed,dataset,lambda_mmd,in_processing,acc,disparity,time
3,COMPAS,0.3,True,0.6685606060606061,0.02987602237517,150.96089200000006
3,COMPAS,0.4,True,0.696969696969697,0.0467735469440208,155.25219600000014
3,COMPAS,0.5,True,0.6742424242424242,0.0152489855865239,153.80100700000023
3,COMPAS,0.6,True,0.6704545454545454,0.0025927022176595,148.02807399999983
3,COMPAS,0.7,True,0.6732954545454546,0.0181976223571859,151.43004500000006
3,COMPAS,0.8,True,0.6770833333333334,0.0024016215628899,146.94795000000022
3,COMPAS,0.9,True,0.6751893939393939,0.0055413389883215,142.64707399999998
3,COMPAS,1.0,True,0.6732954545454546,0.0096252196490859,145.05928799999947
3,COMPAS,1.1,True,0.6742424242424242,0.0230645590345556,148.5872320000003
3,COMPAS,1.2,True,0.6723484848484849,0.0072385848042172,144.61359300000004
3,COMPAS,1.3,True,0.6818181818181818,0.0046608693045788,156.6033780000007
3,COMPAS,1.4,True,0.6856060606060606,0.0128286306261075,156.38649600000008
3,COMPAS,1.5,True,0.6742424242424242,0.0197974545059441,147.19415599999957
3,COMPAS,1.6,True,0.6875,0.0301607700175719,142.49724699999933
3,COMPAS,1.7,True,0.6789772727272727,0.0247618048504512,148.21722300000056
3,COMPAS,1.8,True,0.6742424242424242,0.0200522287123037,145.3996070000003
3,COMPAS,1.9,True,0.6808712121212122,0.0351251203620791,144.43307100000038
3,COMPAS,2.0,True,0.6751893939393939,0.0190443719253811,143.0231330000006
3,COMPAS,2.1,True,0.6789772727272727,0.0198611480575339,145.96686600000066
3,COMPAS,2.2,True,0.6808712121212122,0.0160320416031292,142.5899640000007
3,COMPAS,2.3,True,0.6846590909090909,0.0336189552009531,144.0248649999994
3,COMPAS,2.4,True,0.6742424242424242,0.0412134745581728,146.96843500000068
3,COMPAS,2.5,True,0.6761363636363636,0.0246981112988614,147.55168200000026
